,id_x,task_id,id_y,info_0,info_1,info_2,info_3,info_4_0,info_4_1,info_4_2,info_4_3,info_5,info_6,info_7,info_8,info_9,info_10,info_11,calibration,created,fav_user_ids,id,info_CIME_coordinates,info_CIME_geolocation_string,info_bounding_box,info_country,info_country_code,info_country_or_territory,info_created_at,info_id,info_id_str,info_language_code,info_media_url,info_type,info_url,info_user_loc,n_answers,priority_0,project_id,quorum,state
0,10747,128837,128837,Yes,Yes,Yes,Yes,Cloth,Surgical,Scarf,,Yes,5 or more,No,Yes,Other,Other,Cannot tell,0,2020-08-29T08:50:51.231368,,128837,,,,-0,ESP,Spain,2020-08-20 08:51:34,1296369271036170000,1296369271036170000,pt,http://pbs.twimg.com/media/Ef2g-0PWAAIC29U.jpg,photo,https://t.co/yhpOGMtFZ7,-0,3,0,162,0,completed
1,10748,128853,128853,Yes,Yes,Yes,Yes,Cloth,,,,Yes,2,No,Yes,Other,Other,Yes,0,2020-08-29T08:50:52.158342,,128853,,,,-0,PRT,Portugal,2020-08-20 08:50:15,1296368940952830000,1296368940952830000,pt,http://pbs.twimg.com/media/Ef2grlqWoAAAHzo.jpg,photo,https://t.co/cPa7JKY9P8,Portugal,3,0,162,0,completed
2,10749,128869,128869,Yes,Not answered,Not answered,Not answered,,,,,Not answered,Not answered,Not answered,Not answered,Not answered,Not answered,Not answered,0,2020-08-29T08:50:53.206500,,128869,,,,United States,USA,United States,2020-08-20 04:49:10,1296308272140560000,1296308272140560000,en,http://pbs.twimg.com/tweet_video_thumb/Ef1pgAYWAAAKXv5.jpg,photo,https://t.co/JfHbsXs1b3,San Antonio - TX,3,0,162,0,completed
3,10750,128845,128845,Yes,Yes,Yes,Yes,Surgical,,,,Yes,3,Yes,Yes,Cannot tell,Other,Yes,0,2020-08-29T08:50:51.694862,,128845,,,,-0,KOR,Korea - Republic of,2020-08-20 04:51:56,1296308967090530000,1296308967090530000,fr,http://pbs.twimg.com/media/Ef1py_tU8AAMnKd.jpg,photo,https://t.co/oI4TdOXEia,South Korea,3,0,162,0,completed
6,10753,128901,128901,Yes,Yes,Yes,Yes,Surgical,,,,Yes,2,Yes,Yes,Street/Square,Socialising,Yes,0,2020-08-29T08:50:55.164155,,128901,,,,-0,FRA,France,2020-08-20 04:46:00,1296307472202730000,1296307472202730000,fr,http://pbs.twimg.com/media/Ef1k8iLXkAADddH.jpg,photo,https://t.co/NY4dsNeSQ4,Paris - France,3,0,162,0,completed
7,10754,128917,128917,Yes,Yes,Yes,Yes,Surgical,,,,Yes,3,Yes,Yes,Street/Square,Other,Yes,0,2020-08-29T08:50:56.113869,,128917,,,,-0,FRA,France,2020-08-20 04:44:05,1296306990881420000,1296306990881420000,fr,http://pbs.twimg.com/media/Ef1mrM8XsAE50yp.jpg,photo,https://t.co/9wCZAL3oOa,Alsace - France,3,0,162,0,completed
8,10755,128909,128909,Yes,Yes,Yes,Yes,Cloth,,,,Only some of them,4,Yes,Yes,Street/Square,Working,Maybe,0,2020-08-29T08:50:55.634638,,128909,,,,-0,IDN,Indonesia,2020-08-20 04:45:27,1296307336856740000,1296307336856740000,in,http://pbs.twimg.com/media/Ef1olznUEAE2Otk.jpg,photo,https://t.co/v2rS2Fyi5Z,-0,3,0,162,0,completed
9,10756,128933,128933,Yes,Yes,Yes,Yes,Cannot tell,Surgical,,,Yes,3,Yes,Yes,Other,Working,Yes,0,2020-08-29T08:50:57.125183,,128933,,,,-0,ESP,Spain,2020-08-20 08:43:05,1296367138416950000,1296367138416950000,es,http://pbs.twimg.com/media/Ef2fCsJUwAEMqUi.jpg,photo,https://t.co/E1aK6zgD4A,Burgos - España,3,0,162,0,completed
10,10757,128949,128949,Yes,Yes,Yes,Yes,Cloth,Surgical,,,Yes,2,Yes,Yes,Other,Other,Yes,0,2020-08-29T08:50:58.111220,,128949,,,,-0,PER,Peru,2020-08-20 04:40:12,1296306011658220000,1296306011658220000,es,http://pbs.twimg.com/media/Ef1nbkBXkAEnWNs.jpg,photo,https://t.co/dFAP4ETr5d,Cusco,3,0,162,0,completed
11,10758,128957,128957,Yes,Yes,Yes,Yes,Cloth,,,,Yes,2,Yes,Yes,Street/Square,Other,Yes,0,2020-08-29T08:50:58.650037,,128957,,,,-0,PHL,Philippines,2020-08-20 04:39:13,1296305766438010000,1296305766438010000,en,http://pbs.twimg.com/media/Ef1nJRaUwAAnDeT.jpg,photo,https://t.co/A3fG0dduG6,San Francisco - Quezon,3,0,162,0,completed
